adduser 3.118ubuntu5
libxcb-dri2-0 1.14-3ubuntu3
libxcb-dri3-0 1.14-3ubuntu3
libxcb-glx0 1.14-3ubuntu3
libxcb-present0 1.14-3ubuntu3
libxcb-randr0 1.14-3ubuntu3
libxcb-render0 1.14-3ubuntu3
libxcb-shape0 1.14-3ubuntu3
libxcb-shm0 1.14-3ubuntu3
libxcb-sync1 1.14-3ubuntu3
libxcb-util1 0.4.0-1build2
libxcb-xfixes0 1.14-3ubuntu3
libxcb-xinerama0 1.14-3ubuntu3
libxcb1 1.14-3ubuntu3
libxcb1-dev 1.14-3ubuntu3
libxcomposite-dev 1:0.4.5-1build2
libxcomposite1 1:0.4.5-1build2
libxcursor-dev 1:1.2.0-2build4
libxcursor1 1:1.2.0-2build4
libxcvt-dev 0.1.1-3
libxcvt0 0.1.1-3
libxdamage-dev 1:1.1.5-2build2
libxdamage1 1:1.1.5-2build2
libxdmcp-dev 1:1.1.3-0ubuntu5
libxdmcp6 1:1.1.3-0ubuntu5
libxdo3 1:3.20160805.1-4
libxext-dev 2:1.3.4-1build1
libxext6 2:1.3.4-1build1
libxfixes-dev 1:6.0.0-1
libxfixes3 1:6.0.0-1
libxfont-dev 1:2.0.5-1build1
libxfont2 1:2.0.5-1build1
libxft-dev 2.3.4-1
libxft2 2.3.4-1
libxi-dev 2:1.8-1build1
libxi6 2:1.8-1build1
libxinerama-dev 2:1.1.4-3
libxinerama1 2:1.1.4-3
libxkbcommon0 1.4.0-1
libxkbfile-dev 1:1.1.0-1build3
libxkbfile1 1:1.1.0-1build3
libxml2 2.9.13+dfsg-1ubuntu0.9
libxmlsec1 1.2.33-1build2
libxmlsec1-nss 1.2.33-1build2
libxmu-dev 2:1.1.3-3
libxmu-headers 2:1.1.3-3
libxmu6 2:1.1.3-3
libxmuu-dev 2:1.1.3-3
libxmuu1 2:1.1.3-3
libxpm-dev 1:3.5.12-1ubuntu0.22.04.2
libxpm4 1:3.5.12-1ubuntu0.22.04.2
libxrandr-dev 2:1.5.2-1build1
libxrandr2 2:1.5.2-1build1
libxrender-dev 1:0.9.10-1build4
libxrender1 1:0.9.10-1build4
libxres-dev 2:1.2.1-1
libxres1 2:1.2.1-1
libxshmfence1 1.3-1build4
libxslt1.1 1.1.34-4ubuntu0.22.04.4
libxss-dev 1:1.2.3-1build2
libxss1 1:1.2.3-1build2
libxt-dev 1:1.2.1-1
libxt6 1:1.2.1-1
libxtables12 1.8.7-1ubuntu5.2
libxtst-dev 2:1.2.3-1build4
libxtst6 2:1.2.3-1build4
libxv-dev 2:1.0.11-1build2
libxv1 2:1.0.11-1build2
libxvidcore4 2:1.3.7-1
libxvmc-dev 2:1.0.12-2build2
libxvmc1 2:1.0.12-2build2
libxxf86dga-dev 2:1.1.5-0ubuntu3
libxxf86dga1 2:1.1.5-0ubuntu3
libxxf86vm-dev 1:1.1.4-1build3
libxxf86vm1 1:1.1.4-1build3
libxxhash0 0.8.1-1
libyajl2 2.1.0-3ubuntu0.22.04.1
libzbar0 0.23.92-4build2
libzimg2 3.0.3+ds1-1
libzmq5 4.3.4-2
libzstd1 1.4.8+dfsg-3build1
libzvbi-common 0.2.35-19
libzvbi0 0.2.35-19
libzxingcore1 1.2.0-1
linux-libc-dev 5.15.0-157.167
linuxptp 3.1.1-3
login 1:4.8.1-2ubuntu2.2
logsave 1.46.5-2ubuntu1.2
lp-solve 5.5.2.5-2build2
lsb-base 11.1.0ubuntu4
lsof 4.93.2+dfsg-1.1build2
make 4.3-4.1build1
mawk 1.3.4.20200120-3
media-types 7.0.0
mesa-common-dev 23.2.1-1ubuntu3.1~22.04.3
mesa-utils 8.4.0-1ubuntu1
mesa-utils-bin 8.4.0-1ubuntu1
mesa-vulkan-drivers 23.2.1-1ubuntu3.1~22.04.3
mount 2.37.2-4ubuntu3.4
mysql-client 8.0.43-0ubuntu0.22.04.2
mysql-client-8.0 8.0.43-0ubuntu0.22.04.2
mysql-client-core-8.0 8.0.43-0ubuntu0.22.04.2
mysql-common 5.8+1.0.8
nano 6.2-1ubuntu0.1
ncurses-base 6.3-2ubuntu0.1
ncurses-bin 6.3-2ubuntu0.1
net-tools 1.60+git20181103.0eebece-1ubuntu5.4
netbase 6.3
ocl-icd-libopencl1 2.2.14-3
openbox 3.6.1-10
openjdk-11-jre 11.0.28+6-1ubuntu1~22.04.1
openjdk-11-jre-headless 11.0.28+6-1ubuntu1~22.04.1
openssh-client 1:8.9p1-3ubuntu0.13
openssh-server 1:8.9p1-3ubuntu0.13
openssh-sftp-server 1:8.9p1-3ubuntu0.13
openssl 3.0.2-0ubuntu1.20
passwd 1:4.8.1-2ubuntu2.2
patch 2.7.6-7build2
perl 5.34.0-3ubuntu1.5
perl-base 5.34.0-3ubuntu1.5
perl-modules-5.34 5.34.0-3ubuntu1.5
pinentry-curses 1.1.1-1build2
pkg-config 0.29.2-1ubuntu3
poppler-utils 22.02.0-2ubuntu0.11
procps 2:3.3.17-6ubuntu2.1
psmisc 23.4-2build3
pulseaudio 1:15.99.1+dfsg1-1ubuntu2.2
pulseaudio-utils 1:15.99.1+dfsg1-1ubuntu2.2
python3 3.10.6-1~22.04.1
python3-distutils 3.10.8-1~22.04
python3-lib2to3 3.10.8-1~22.04
python3-minimal 3.10.6-1~22.04.1
python3-pip 22.0.2+dfsg-1ubuntu0.7
python3-pip-whl 22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources 59.6.0-1.2ubuntu0.22.04.3
python3-setuptools 59.6.0-1.2ubuntu0.22.04.3
python3-setuptools-whl 59.6.0-1.2ubuntu0.22.04.3
python3-uno 1:7.3.7-0ubuntu0.22.04.10
python3-wheel 0.37.1-2ubuntu0.22.04.1
python3.10 3.10.12-1~22.04.11
python3.10-minimal 3.10.12-1~22.04.11
python3.11 3.11.0~rc1-1~22.04
python3.11-minimal 3.11.0~rc1-1~22.04
python3.11-venv 3.11.0~rc1-1~22.04
readline-common 8.1.2-1
rpcsvc-proto 1.4.2-0ubuntu6
sed 4.8-1ubuntu2
sensible-utils 0.0.17
session-migration 0.3.6
shared-mime-info 2.1-2
socat 1.7.4.1-3ubuntu4
sudo 1.9.9-1ubuntu2.5
supervisor 4.2.1-1ubuntu1
systemd 249.11-0ubuntu3.17
systemd-sysv 249.11-0ubuntu3.17
sysvinit-utils 3.01-1ubuntu1
tar 1.34+dfsg-1ubuntu0.1.22.04.2
tcl 8.6.11+1build2
tcl8.6 8.6.12+dfsg-1build1
timgm6mb-soundfont 1.3-5
tini 0.19.0-1
tk 8.6.11+1build2
tk8.6 8.6.12-1build1
tree 2.0.2-1
tzdata 2025b-0ubuntu0.22.04.1
ubuntu-keyring 2021.03.26
ubuntu-mono 20.10-0ubuntu2
ucf 3.0043
udev 249.11-0ubuntu3.17
uno-libs-private 1:7.3.7-0ubuntu0.22.04.10
unzip 6.0-26ubuntu3.2
ure 1:7.3.7-0ubuntu0.22.04.10
usrmerge 25ubuntu2
util-linux 2.37.2-4ubuntu3.4
uuid-dev 2.37.2-4ubuntu3.4
vim 2:8.2.3995-1ubuntu2.24
vim-common 2:8.2.3995-1ubuntu2.24
vim-runtime 2:8.2.3995-1ubuntu2.24
vulkan-tools 1.3.204.0+dfsg1-1
wget 1.21.2-2ubuntu1.1
x11-common 1:7.7+23ubuntu2
x11-xkb-utils 7.7+5build4
x11-xserver-utils 7.7+9build1
x11proto-dev 2021.5-1
x11vnc 0.9.16-8
xauth 1:1.1-1build2
xbitmaps 1.1.1-2.1ubuntu1
xclip 0.13-2
xdg-utils 1.1.3-4.1ubuntu3~22.04.1
xdotool 1:3.20160805.1-4
xinit 1.4.1-0ubuntu4
xkb-data 2.33-1
xorg-dev 1:7.7+23ubuntu2
xorg-sgml-doctools 1:1.11-1.1
xserver-common 2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg-core 2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg-dev 2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg-input-evdev 1:2.10.6-2build1
xserver-xorg-input-libinput 1.2.1-1
xserver-xorg-video-dummy 1:0.3.8-2build1
xterm 372-1ubuntu1
xtrans-dev 1.4.0-1
xutils-dev 1:7.7+6ubuntu1
xvfb 2:21.1.4-2ubuntu1.7~22.04.15
xxd 2:8.2.3995-1ubuntu2.24
zip 3.0-12build2
zlib1g 1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev 1:1.2.11.dfsg-2ubuntu9.2
